Creating 1000 new traders and sending orders:
Received: 1000 messages

Order Book(BTC -> ETH)
Entries: 1000, Bids: 496, Asks: 504
{'q': 2000, 'p_low': 94, 'p_high': 119, 'u_max': 481, 'order_type': 'sell', 'order_id': 'Trader0:1'}
{'q': 1200, 'p_low': 91, 'p_high': 114, 'u_max': 474, 'order_type': 'sell', 'order_id': 'Trader2:1'}
{'q': 1338, 'p_low': 89, 'p_high': 103, 'u_max': 477, 'order_type': 'buy', 'order_id': 'Trader4:1'}
{'q': 1762, 'p_low': 80, 'p_high': 112, 'u_max': 490, 'order_type': 'buy', 'order_id': 'Trader6:1'}
{'q': 1872, 'p_low': 95, 'p_high': 119, 'u_max': 411, 'order_type': 'buy', 'order_id': 'Trader8:1'}
{'q': 1903, 'p_low': 86, 'p_high': 108, 'u_max': 428, 'order_type': 'buy', 'order_id': 'Trader10:1'}
{'q': 1823, 'p_low': 88, 'p_high': 116, 'u_max': 465, 'order_type': 'sell', 'order_id': 'Trader12:1'}
{'q': 1024, 'p_low': 86, 'p_high': 105, 'u_max': 471, 'order_type': 'buy', 'order_id': 'Trader14:1'}
{'q': 1546, 'p_low': 89, 'p_high': 102, 'u_max': 403, 'order_type': 'sell', 'order_id': 'Trader16:1'}
{'q': 1393, 'p_low': 84, 'p_high': 120, 'u_max': 500, 'order_type': 'buy', 'order_id': 'Trader18:1'}
{'q': 1568, 'p_low': 96, 'p_high': 119, 'u_max': 422, 'order_type': 'buy', 'order_id': 'Trader20:1'}
{'q': 1200, 'p_low': 90, 'p_high': 120, 'u_max': 475, 'order_type': 'sell', 'order_id': 'Trader22:1'}
{'q': 1784, 'p_low': 86, 'p_high': 108, 'u_max': 429, 'order_type': 'sell', 'order_id': 'Trader24:1'}
{'q': 1526, 'p_low': 90, 'p_high': 111, 'u_max': 413, 'order_type': 'buy', 'order_id': 'Trader26:1'}
{'q': 1736, 'p_low': 87, 'p_high': 119, 'u_max': 481, 'order_type': 'sell', 'order_id': 'Trader28:1'}
{'q': 1795, 'p_low': 96, 'p_high': 105, 'u_max': 409, 'order_type': 'buy', 'order_id': 'Trader30:1'}
{'q': 1986, 'p_low': 87, 'p_high': 103, 'u_max': 459, 'order_type': 'buy', 'order_id': 'Trader32:1'}
{'q': 1440, 'p_low': 83, 'p_high': 120, 'u_max': 475, 'order_type': 'buy', 'order_id': 'Trader34:1'}
{'q': 1467, 'p_low': 87, 'p_high': 106, 'u_max': 427, 'order_type': 'sell', 'order_id': 'Trader36:1'}
{'q': 1954, 'p_low': 91, 'p_high': 105, 'u_max': 485, 'order_type': 'sell', 'order_id': 'Trader38:1'}
{'q': 1106, 'p_low': 95, 'p_high': 107, 'u_max': 443, 'order_type': 'buy', 'order_id': 'Trader40:1'}
{'q': 1021, 'p_low': 87, 'p_high': 101, 'u_max': 438, 'order_type': 'sell', 'order_id': 'Trader42:1'}
{'q': 1383, 'p_low': 81, 'p_high': 116, 'u_max': 468, 'order_type': 'buy', 'order_id': 'Trader44:1'}
{'q': 1933, 'p_low': 86, 'p_high': 114, 'u_max': 412, 'order_type': 'buy', 'order_id': 'Trader46:1'}
{'q': 1886, 'p_low': 84, 'p_high': 118, 'u_max': 479, 'order_type': 'sell', 'order_id': 'Trader48:1'}
{'q': 1144, 'p_low': 98, 'p_high': 108, 'u_max': 417, 'order_type': 'buy', 'order_id': 'Trader50:1'}
{'q': 1721, 'p_low': 92, 'p_high': 115, 'u_max': 440, 'order_type': 'sell', 'order_id': 'Trader52:1'}
{'q': 1864, 'p_low': 81, 'p_high': 109, 'u_max': 424, 'order_type': 'sell', 'order_id': 'Trader54:1'}
{'q': 1198, 'p_low': 99, 'p_high': 107, 'u_max': 455, 'order_type': 'buy', 'order_id': 'Trader56:1'}
{'q': 1977, 'p_low': 96, 'p_high': 117, 'u_max': 446, 'order_type': 'buy', 'order_id': 'Trader58:1'}
{'q': 1190, 'p_low': 99, 'p_high': 105, 'u_max': 423, 'order_type': 'sell', 'order_id': 'Trader60:1'}
{'q': 1528, 'p_low': 82, 'p_high': 102, 'u_max': 460, 'order_type': 'buy', 'order_id': 'Trader62:1'}
{'q': 1121, 'p_low': 89, 'p_high': 106, 'u_max': 459, 'order_type': 'sell', 'order_id': 'Trader64:1'}
{'q': 1788, 'p_low': 87, 'p_high': 114, 'u_max': 437, 'order_type': 'sell', 'order_id': 'Trader66:1'}
{'q': 1243, 'p_low': 88, 'p_high': 112, 'u_max': 457, 'order_type': 'buy', 'order_id': 'Trader68:1'}
{'q': 1379, 'p_low': 88, 'p_high': 112, 'u_max': 473, 'order_type': 'sell', 'order_id': 'Trader70:1'}
{'q': 1105, 'p_low': 97, 'p_high': 111, 'u_max': 483, 'order_type': 'sell', 'order_id': 'Trader72:1'}
{'q': 1862, 'p_low': 85, 'p_high': 116, 'u_max': 406, 'order_type': 'sell', 'order_id': 'Trader74:1'}
{'q': 1240, 'p_low': 96, 'p_high': 113, 'u_max': 473, 'order_type': 'buy', 'order_id': 'Trader76:1'}
